nominee,nr_wins,nr_nominations,globes_index
Kirk Douglas,1,3,2
Kirsten Dunst,0,3,1
Kirstie Alley,1,6,2
Kit Harington,0,1,1
Klaus Maria Brandauer,1,2,2
Kris Kristofferson,1,1,2
Kristen Bell,0,1,1
Kristen Johnston,0,1,1
Kristen Wiig,0,1,1
Kristin Davis,0,1,1
Kristin Scott Thomas,0,2,1
Kristy McNichol,0,2,1
Kurt Kasznar,0,1,1
Kurt Russell,0,1,1
Kyle MacLachlan,1,2,2
Kyra Sedgwick,1,8,2
Lady Gaga,1,2,2
Lainie Kazan,0,1,1
Lance Henriksen,0,3,1
Lane Smith,0,1,1
Larry David,0,3,1
Larry Drake,0,3,1
Larry Hagman,0,4,1
Larry Tucker,0,1,1
Laura Dern,5,8,3
Laura Leighton,0,1,1
Laura Linney,2,6,3
Laura San Giacomo,0,2,1
Lauren Bacall,1,1,2
Lauren Graham,0,1,1
Lauren Tewes,0,1,1
Laurence Fishburne,0,1,1
Laurence Harvey,0,1,1
Laurence Olivier,2,5,3
Laurie Metcalf,0,3,1
Lea Michele,0,2,1
Lee Grant,0,5,1
Lee J. Cobb,0,2,1
Lee Kinsolving,0,1,1
Lee Majors,0,1,1
Lee Marvin,1,2,2
Lee Meriwether,0,2,1
Lee Pace,0,2,1
Lee Remick,2,6,3
Lee Strasberg,0,1,1
Lee Tracy,0,1,1
Leelee Sobieski,0,2,1
Leigh Taylor-Young,0,2,1
Lena Dunham,1,3,2
Lena Headey,0,1,1
Lena Olin,0,1,1
Lenny Baker,0,1,1
Leonard Whiting,1,1,2
Leonardo DiCaprio,3,12,3
Lesley Ann Warren,1,4,2
Lesley Warren,0,1,1
Lesley-Anne Down,0,1,1
Leslie Browne,0,1,1
Leslie Caron,1,3,2
Leslie Parish,0,1,1
Leslie Uggams,0,1,1
Liam Neeson,0,3,1
Liev Schreiber,0,6,1
Lila Kedrova,0,1,1
Lilia Skala,0,2,1
Lilli Palmer,0,2,1
Lillian Gish,0,1,1
Lily Collins,0,1,1
Lily Tomlin,0,7,1
Lin-Manuel Miranda,0,1,1
Linda Blair,1,2,2
Linda Cristal,2,3,3
Linda Evans,1,5,2
Linda Gray,0,2,1
Linda Hamilton,0,3,1
Linda Hunt,0,1,1
Linda Kelsey,0,3,1
Linda Kozlowski ,0,1,1
Linda Lavin,2,3,3
Linda Marsh,0,1,1
Linda Ronstadt,0,1,1
Lindsay Wagner,0,2,1
Linus Roache,0,1,1
Lionel Jeffries,0,1,1
Lionel Stander,1,1,2
Lisa Blount,0,1,1
Lisa Eichhorn,0,2,1
Lisa Kudrow,0,1,1
Liselotte Pulver,0,1,1
Liv Ullmann,1,5,2
Liz Torres,0,1,1
Liza Minnelli,2,6,3
Lloyd Haines,0,1,1
Lois Maxwell,1,1,2
Lola Falana,0,1,1
Loni Anderson,0,3,1
Lorenzo Lamas,0,1,1
Loretta Swit,0,4,1
Loretta Young,1,2,2
Lorne Greene,0,1,1
Lorraine Bracco,0,4,1
Lotte Lenya,0,1,1
Lou Diamond Phillips,0,1,1
Louis C.K.,0,2,1
Louis Calhern,0,1,1
Louis Gossett Jr.,2,3,3
Louis Jourdan,0,1,1
Louise Fletcher,1,1,2
Lucas Hedges,0,1,1
Lucie Arnaz,0,1,1
Lucille Ball,0,7,1
Lucy Gutteridge,0,1,1
Lupita Nyong'o,0,1,1
Lynda Day George,0,1,1
Lynn Redgrave,2,4,3
Lynn Whitfield,0,1,1
Lynn-Holly Johnson,0,1,1
Macaulay Culkin,0,1,1
Machiko Kyo,0,1,1
Madeleine Stowe,0,1,1
Madeline Kahn,0,4,1
Madonna,1,1,2
Maggie Gyllenhaal,1,4,2
Maggie Smith,3,12,3
Mahershala Ali,1,2,2
Mako,0,1,1
Malcolm McDowell,0,1,1
Mandy Moore,0,1,1
Mandy Patinkin,0,3,1
Marcello Mastroianni,1,4,2
Marcia Cross,0,3,1
Mare Winningham,0,1,1
Marg Helgenberger,0,3,1
Margaret Rutherford,1,1,2
Margot Robbie,0,2,1
Maria Bello,0,2,1
Marianne Jean-Baptiste,0,1,1
Marianne McAndrew,0,2,1
Marie Gomez,0,1,1
Mariel Hemingway,0,2,1
Marilu Henner,0,5,1
Marilyn Hassett,1,2,2
Marilyn Monroe,1,2,2
Marina Vlady,0,1,1
Marion Cotillard,1,3,2
Marion Ross,0,1,1
Marisa Berenson,0,2,1
Marisa Pavan,1,1,2
Marisa Tomei,0,2,1
Mariska Hargitay,1,2,2
Marjorie Main,0,1,1
Mark Damon,1,1,2
Mark Harmon,0,4,1
Mark Ruffalo,0,3,1
Mark Rylance,0,2,1
Mark Wahlberg,0,2,1
Marla Gibbs,0,1,1
Marlee Matlin,1,3,2
Marlene Dietrich,0,1,1
Marlo Thomas,1,4,2
Marlon Brando,2,6,3
Marsha Mason,2,4,3
Martha Raye,0,1,1
Marthe Keller,0,1,1
Martin Balsam,0,1,1
Martin Freeman,0,1,1
Martin Landau,3,3,3
Martin Sheen,1,8,2
Marty Feldman,0,1,1
Mary Ann Mobley,1,1,2
Mary Costa,0,1,1
Mary Elizabeth Mastrantonio,0,1,1
Mary J. Blige,0,1,1
Mary McDonnell,0,2,1
Mary Steenburgen,1,3,2
Mary Tyler Moore,3,9,3
Mary Ure,0,1,1
Mary-Louise Parker,2,5,3
Masi Oka,0,1,1
Matt Bomer,1,1,2
Matt Damon,1,6,2
Matt Dillon,0,1,1
Matt LeBlanc,1,5,2
Matthew Broderick,0,1,1
Matthew Fox,0,1,1
Matthew McConaughey,1,2,2
Matthew Modine,0,2,1
Matthew Morrison,0,2,1
Matthew Perry,0,1,1
Matthew Rhys,0,2,1
Maura McGiveney,0,1,1
Maura Tierney,1,1,2
Maureen Stapleton,1,5,2
Maurice Chevalier,0,3,1
Max Greenfield,0,1,1
Max von Sydow,0,2,1
Maximilian Schell,2,4,3
McLean Stevenson,1,1,2
Meg Ryan,0,3,1
Meg Tilly,1,1,2
Megan Mullally,0,4,1
Mel Brooks,0,2,1
Mel Gibson,0,2,1
Mel Harris,0,1,1
Melanie Griffith,1,5,2
Melina Mercouri,0,3,1
Melinda Dillon,0,1,1
Melissa George,0,1,1
Melissa Gilbert,0,1,1
Melissa Leo,1,1,2
Melissa McCarthy,0,2,1
Melvyn Douglas,1,3,2
Mercedes McCambridge,2,2,3
Mercedes Ruehl,1,1,2
Merritt Wever,0,1,1
Merv Griffin,0,1,1
Meryl Streep,8,32,3
Mia Farrow,1,8,2
Michael C. Hall,1,5,2
Michael Caine,3,12,3
Michael Callan,1,2,2
Michael Chiklis,1,3,2
Michael Clarke Duncan,0,1,1
Michael Constantine,0,2,1
Michael Douglas,3,10,3
Michael Ealy,0,1,1
Michael Emerson,0,1,1
Michael Fassbender,0,3,1
Michael Gambon,0,1,1
Michael Imperioli,0,2,1
Michael J. Fox,4,10,3
Michael J. Pollard,0,2,1
Michael Jeter,0,1,1
Michael Keaton,1,2,2
Michael Landon,0,1,1
Michael Learned,0,4,1
Michael Moriarty,1,2,2
Michael O'Keefe,0,1,1
Michael Sacks,0,1,1
Michael Sarrazin,0,1,1
Michael Shannon,0,1,1
Michael Sheen,0,1,1
Michael Stuhlbarg,0,1,1
Michael Tucker,0,2,1
Michelle Dockery,0,1,1
Michelle Monaghan,0,1,1
Michelle Pfeiffer,1,7,2
Michelle Phillips,0,1,1
Michelle Williams,2,6,3
Mickey Rooney,2,2,3
Mickey Rourke,1,1,2
Mike Connors,1,6,2
Mikhail Baryshnikov,0,1,1
Mila Kunis,0,1,1
Milburn Stone,0,1,1
Mildred Dunnock,0,3,1
Millard Mitchell,1,1,2
Minnie Driver,0,1,1
Mira Sorvino,1,3,2
Miranda Richardson,2,7,3
Mireille Enos,0,1,1
Miriam Hopkins,0,1,1
Mitch Vogel,0,1,1
Mitzi Gaynor,0,1,1
Miyoshi Umeki,0,3,1
Mo'Nique,1,1,2
Molly Picon,0,1,1
Molly Ringwald,0,1,1
Mona Washbourne,0,1,1
Monica Potter,0,1,1
Montgomery Clift,0,1,1
Morgan Fairchild,0,1,1
Morgan Freeman,1,5,2
Mos Def,0,1,1
Nancy Allen,0,1,1
Nancy Kwan,1,2,2
Nancy Marchand,1,1,2
Nancy Sinatra,0,2,1
Nancy Walker,0,4,1
Naomi Watts,0,1,1
Naomie Harris,0,1,1
Nastassja Kinski,1,2,2
Natalie Portman,2,4,3
Natalie Wood,2,7,3
Natasha Lyonne,0,1,1
Nathan Lane,0,2,1
Naveen Andrews,0,1,1
Ned Beatty,0,1,1
Neil Diamond,0,1,1
Neil Patrick Harris,0,4,1
Nell Carter,0,2,1
Nia Vardalos,0,1,1
Nick Nolte,1,5,2
Nicolas Cage,1,4,2
Nicole Kidman,4,14,3
Nicollette Sheridan,0,1,1
Nigel Patrick,0,1,1
Nikki Blonsky,0,1,1
Noah Wyle,0,3,1
Norma Aleandro,0,1,1
Norman Fell,1,1,2
Octavia Spencer,1,3,2
Oded Kotler,0,1,1
Oliver Platt,0,1,1
Olivia Colman,3,3,3
Olivia Hussey,1,1,2
Olivia Newton-John,0,1,1
Olivia de Havilland,2,3,3
Olympia Dukakis,1,2,2
Omar Sharif,3,3,3
Oprah Winfrey,0,1,1
Orson Welles,0,1,1
Oscar Homolka,0,1,1
Oscar Isaac,1,2,2
Oskar Werner,1,3,2
Ossie Davis,0,1,1
Owen Wilson,0,1,1
Pam Grier,0,1,1
Pamela Adlon,0,1,1
Pamela Tiffin,0,2,1
Park Overall,0,3,1
Parker Posey,0,1,1
Pat Crowley,2,2,3
Pat Harrington,1,4,2
Pat Morita,0,2,1
Patricia Arquette,3,6,3
Patricia Clarkson,1,2,2
Patricia Neal,1,2,2
Patricia Richardson,0,2,1
Patricia Wettig,1,1,2
Patrick Dempsey,0,2,1
Patrick Stewart,0,3,1
Patrick Swayze,0,3,1
Patrick Wayne,1,1,2
Patrick Wilson,0,2,1
Patty Duke,2,4,3
Patty McCormack,0,1,1
Paul Dano,0,1,1
Paul Giamatti,2,5,3
Paul Hogan,1,1,2
Paul Le Mat,2,3,3
Paul Lukas,1,1,2
Paul Lynde,0,1,1
Paul Mann,0,2,1
Paul Newman,2,11,3
Paul Reiser,0,4,1
Paul Rudd,0,1,1
Paul Scofield,1,2,2
Paul Wallace,0,1,1
Pauline Collins,0,1,1
Pauline Frederick,1,1,2
Peggy Ashcroft,1,2,2
Peggy Cass,0,1,1
Peggy Lipton,1,4,2
Peggy Wood,0,1,1
Penelope Ann Miller,0,1,1
Penny Marshall,0,3,1
Penélope Cruz,0,4,1
Perry King,0,1,1
Peter Dinklage,1,1,2
Peter Falk,1,10,2
Peter Finch,1,2,2
Peter Firth,1,1,2
Peter Fonda,2,4,3
Peter Graves,1,3,2
Peter Krause,0,2,1
Peter O'Toole,4,11,3
Peter Sarsgaard,0,1,1
Peter Sellers,1,5,2
Peter Strauss,0,5,1
Peter Ustinov,1,3,2
Petula Clark,0,1,1
Philip Anglim,0,1,1
Philip Casnoff,0,1,1
Philip Michael Thomas,0,1,1
Philip Seymour Hoffman,1,5,2
Phoebe Waller-Bridge,1,1,2
Phyllis Diller,0,1,1
Pia Degermark,0,1,1
Pier Angeli,1,1,2
Pierce Brosnan,0,2,1
Piper Laurie,1,4,2
Piper Perabo,0,1,1
Polly Bergen,0,1,1
Polly Holliday,2,4,3
Polly Walker,0,1,1
Pruenella Ransome,0,1,1
Queen Latifah,1,3,2
Quentin Dean,0,1,1
Quinn Cummings,0,1,1
Quvenzhané Wallis,0,1,1
R. Lee Ermey,0,1,1
Rachel Bloom,1,2,2
Rachel Brosnahan,2,3,3
Rachel Griffiths,1,4,2
Rachel Levin,0,1,1
Rachel Roberts,0,1,1
Rachel Ward,0,2,1
Rachel Weisz,1,3,2
Ralph Fiennes,0,5,1
Rami Malek,1,4,2
Ramy Youssef,1,1,2
Randy Quaid,1,3,2
Raquel Welch,1,2,2
Raul Julia,1,4,2
Ray Danton,1,1,2
Ray Liotta,0,1,1
Ray Milland,1,2,2
Ray Romano,0,2,1
Ray Sharkey,1,2,2
Ray Stricklyn,0,2,1
Raymond Burr,0,2,1
Reba McEntire,0,1,1
Rebecca Ferguson,0,1,1
Rebecca Hall,0,1,1
Red Buttons,1,3,2
Redd Foxx,1,4,2
Reese Witherspoon,1,6,2
Regina King,1,3,2
Regina Taylor,1,1,2
Renée Zellweger,4,7,3
Rex Harrison,1,4,2
Rhea Perlman,0,6,1
Richard Attenborough,2,2,3
Richard Benjamin,1,2,2
Richard Beymer,0,2,1
Richard Boone,0,1,1
Richard Burton,2,7,3
Richard Chamberlain,3,6,3
Richard Crenna,0,3,1
Richard Dreyfuss,1,4,2
Richard E. Grant,0,1,1
Richard Egan,2,2,3
Richard Farnsworth,0,3,1
Richard Gere,1,4,2
Richard Harris,1,2,2
Richard Hatch,0,1,1
Richard Jenkins,0,1,1
Richard Jordan,1,1,2
Richard Kiley,2,3,3
Richard Madden,1,1,2
Richard Mulligan,1,3,2
Richard Roundtree,0,1,1
Richard Thomas,0,2,1
Richard Todd,1,2,2
Richard Widmark,1,1,2
Ricky Gervais,1,3,2
Ricky Nelson,0,1,1
Ricky/Rick Schroder,1,2,2
Riley Keough,0,1,1
Rinko Kikuchi,0,1,1
Rita Gam,0,1,1
Rita Hayworth,0,1,1
Rita Moreno,1,3,2
Rita Tushingham,1,2,2
River Phoenix,0,1,1
Riz Ahmed,0,1,1
Rob Lowe,1,6,2
Rob Morrow,0,3,1
Rob Reiner,0,5,1
Robby Benson,0,2,1
Robert Blake,1,3,2
Robert Conrad,0,1,1
Robert Culp,0,1,1
Robert De Niro,1,9,2
Robert Donat,0,1,1
Robert Downey Jr.,2,4,3
Robert Duvall,4,7,3
Robert Guillaume,0,3,1
Robert Morley,0,1,1
Robert Preston,0,2,1
Robert Redford,1,3,2
Robert Shaw,0,1,1
Robert Urich,0,2,1
Robert Vaughn,0,4,1
Robert Wagner,0,6,1
Robert Walker Jr.,1,1,2
Robert Young,1,5,2
Robin Williams,4,10,3
Robin Wright,1,4,2
Rod Steiger,1,2,2
Roddy McDowall,0,1,1
Roger Daltrey,0,1,1
Roma Downey,0,2,1
Roman Griffin Davis,0,1,1
Romola Garai,0,2,1
Romy Schneider,0,1,1
Ron Howard,1,2,2
Ron Leibman,0,1,1
Ron Livingston,0,1,1
Ron Moody,1,1,2
Ron Perlman,1,1,2
Ronald Colman,1,1,2
Ronee Blakley,0,2,1
Rooney Mara,0,2,1
Rosalind Russell,5,5,3
Rosamund Pike,0,2,1
Rosanna Arquette,0,1,1
Rose Byrne,0,2,1
Roseanne Barr,1,5,2
Rosemary Forsyth,0,1,1
Rosemary Harris,1,2,2
Rosie Perez,0,1,1
Ross Martin,0,1,1
Roxana Zal,0,1,1
Roy Scheider,0,1,1
Rue McClanahan,0,3,1
Rupert Everett,0,2,1
Russ Tamblyn,1,1,2
Russell Crowe,2,6,3
Rutger Hauer,1,2,2
Ruth Buzzi,1,1,2
Ruth Gordon,2,3,3
Ruth Negga,0,1,1
Ruth Roman,0,1,1
Ruth Wilson,1,2,2
Ryan Gosling,1,5,2
Ryan O'Neal,0,2,1
Ryan Reynolds,0,1,1
S. Epatha Merkerson,1,1,2
Sacha Baron Cohen,1,3,2
Sada Thompson,0,3,1
Sal Mineo,1,1,2
Sally Field,2,11,3
Sally Hawkins,1,3,2
Sally Kellerman,0,1,1
Sally Kirkland,1,2,2
Sally Struthers,0,4,1
Salma Hayek,0,1,1
Sam Elliott,0,2,1
Sam Neill,0,3,1
Sam Rockwell,1,3,2
Sam Shepard,0,1,1
Sam Waterston,1,7,2
Samantha Eggar,1,1,2
Samantha Morton,1,2,2
Sammi Davis-Voss,0,1,1
Sammy Davis Jr.,0,1,1
Samuel L. Jackson,0,4,1
Sandahl Bergman,1,1,2
Sandra Bullock,1,5,2
Sandra Dee,1,1,2
Sandra Oh,2,2,3
Sandy Dennis,0,2,1
Sandy Duncan,0,2,1
Saoirse Ronan,1,4,2
Sarah Hay,0,1,1
Sarah Jessica Parker,4,9,3
Sarah Michelle Gellar,0,1,1
Sarah Miles,0,2,1
Sarah Paulson,1,3,2
Scarlett Johansson,0,5,1
Scott Bakula,1,3,2
Scott Caan,0,1,1
Scott Wilson,0,1,1
Sean Connery,1,2,2
Sean P. Hayes,0,6,1
Sean Penn,1,5,2
Sela Ward,1,4,2
Selma Diamond,0,1,1
Sessue Hayakawa,0,1,1
Shailene Woodley,0,2,1
Sharon Gless,2,7,3
Sharon Stone,1,4,2
Sharon Tate,0,1,1
Shelley Long,2,4,3
Shelley Winters,1,6,2
Sherilyn Fenn,0,1,1
Sherman Hemsley,0,1,1
Sherry Stringfield,0,2,1
Shirley Booth,1,2,2
Shirley Jones,0,4,1
Shirley Knight,1,4,2
Shirley MacLaine,5,19,3
Sian Barbara Allen,0,1,1
Sian Phillips,0,1,1
Sidney Poitier,1,7,2
Sienna Miller,0,1,1
Sigourney Weaver,2,7,3
Simon Baker,0,2,1
Simon Helberg,0,1,1
Simon Ward,0,1,1
Simone Signoret,0,2,1
Sissy Spacek,3,7,3
Sofia Vergara,0,4,1
Sondra Locke,0,2,1
Sophia Loren,0,3,1
Sophie Okonedo,0,1,1
Spencer Tracy,1,4,2
Spring Byington,0,1,1
Stacy Keach,1,2,2
Stanley Holloway,0,1,1
Stanley Tucci,2,3,3
Stathis Giallelis,1,2,2
Stefanie Powers,0,5,1
Stella Stevens,1,1,2
Stellan Skarsgård,1,1,2
Stephan James,0,1,1
Stephanie Beacham,0,1,1
Stephanie Zimbalist,0,1,1
Stephen Boyd,1,2,2
Stephen Fry,0,1,1
Stephen Rea,0,1,1
Sterling K. Brown,1,2,2
Steve Buscemi,1,4,2
Steve Carell,1,9,2
Steve Forrest,1,2,2
Steve Martin,0,5,1
Steve McQueen,0,4,1
Steve Railsback,0,1,1
Steven Bauer,0,2,1
Steven Warner,0,1,1
Stockard Channing,0,3,1
Strother Martin,0,1,1
Sue Ane Langdon,1,2,2
Sue Lyon,1,1,2
Susan Anton,0,1,1
Susan Blakely,1,2,2
Susan Clark,0,1,1
Susan Dey,1,6,2
Susan Flannery,1,1,2
Susan Hayward,2,2,3
Susan Howard,0,1,1
Susan Kohner,2,3,3
Susan Ruttan,0,2,1
Susan Sarandon,0,9,1
Susan St. James,0,3,1
Susan Strasberg,0,1,1
Susan Sullivan,0,1,1
Susannah York,0,2,1
Suzanne Pleshette,0,2,1
Suzanne Somers,0,1,1
Swoosie Kurtz,0,1,1
Sylvester Stallone,1,2,2
Sylvia Sidney,1,2,2
Sônia Braga,0,3,1
Taina Elg,2,2,3
Talia Shire,0,1,1
Tammy Blanchard,0,1,1
Taraji P. Henson,1,1,2
Tarita,0,1,1
Taron Egerton,1,1,2
Tatiana Maslany,0,1,1
Tatum O'Neal,1,2,2
Taylor Schilling,0,2,1
Ted Danson,3,12,3
Ted Knight,0,2,1
Ted Neeley,0,2,1
Telly Savalas,2,6,3
Terence Stamp,1,2,2
Teresa Graves,0,1,1
Teri Hatcher,1,2,2
Terrence Howard,0,1,1
Terry-Thomas,0,1,1
Tess Harper,0,1,1
Thandie Newton,0,2,1
Thelma Ritter,0,3,1
Theresa Saldana,0,1,1
Thomas Gibson,0,2,1
Thomas Haden Church,0,2,1
Thomas Jane,0,3,1
Thora Birch,0,1,1
Tige Andrews,0,1,1
Tilda Swinton,0,2,1
Tim Allen,1,5,2
Tim Conway,1,2,2
Tim Robbins,2,4,3
Tim Roth,0,1,1
Timothy Bottoms,0,1,1
Timothy Hutton,2,4,3
Timothée Chalamet,0,2,1
Tina Chen,0,1,1
Tina Fey,2,6,3
Tina Louise,1,1,2
Tippi Hedren,1,1,2
Tobey Maguire,0,1,1
Tobias Menzies,0,2,1
Toby Jones,0,1,1
Tom Baker,0,2,1
Tom Berenger,1,1,2
Tom Cavanagh,0,1,1
Tom Conti,0,2,1
Tom Courtenay,1,1,2
Tom Cruise,3,7,3
Tom Ewell,1,1,2
Tom Hanks,4,10,3
Tom Hiddleston,1,1,2
Tom Hulce,0,4,1
Tom Jones,0,1,1
Tom Nardini,0,1,1
Tom Selleck,1,7,2
Tom Sizemore,0,1,1
Tom Skerritt,0,2,1
Tom Tryon,0,1,1
Tom Wilkinson,1,4,2
Tommy Lee Jones,1,4,2
Tommy Steele,0,1,1
Toni Collette,1,6,2
Tony Curtis,0,2,1
Tony Danza,0,3,1
Tony Randall,0,6,1
Tony Shalhoub,1,5,2
Tracee Ellis Ross,1,1,2
Tracey Ullman,1,5,2
Treat Williams,0,2,1
Trevor Howard,0,3,1
Trish Van Devere,0,1,1
Troy Donahue,1,1,2
Troy Garity,0,1,1
Truman Capote,0,1,1
Tuesday Weld,1,2,2
Twiggy,2,2,3
Tyne Daly,1,5,2
Ugo Tognazzi,0,1,1
Uma Thurman,1,4,2
Ursula Andress,1,1,2
Uzo Aduba,0,2,1
Valentina Cortese,0,1,1
Valerie Bertinelli,2,3,3
Valerie Harper,1,6,2
Valerie Perrine,0,1,1
Vanessa Redgrave,2,13,3
Vera Farmiga,0,1,1
Vic Tayback,2,3,3
Vicki Lawrence,0,3,1
Victor Buono,0,1,1
Victoria Principal,0,2,1
Victoria Shaw,1,1,2
Victoria Tennant,0,1,1
Viggo Mortensen,0,4,1
Ving Rhames,1,1,2
Viola Davis,1,5,2
Virginia Madsen,0,1,1
Virginia McKenna,0,1,1
Vivien Leigh,0,1,1
Vivien Merchant,0,1,1
Wagner Moura,0,1,1
Walter Huston,1,1,2
Walter Matthau,1,8,2
Warren Beatty,2,8,3
Wayne Rogers,0,1,1
Wendie Malick,0,1,1
Wendy Hiller,0,2,1
Wentworth Miller,0,1,1
Whitman Mayo,0,1,1
Whoopi Goldberg,2,3,3
Wilfred Hyde-White,0,1,1
Will Ferrell,0,2,1
Will Geer,0,2,1
Will Smith,0,5,1
Willem Dafoe,0,3,1
William Conrad,0,2,1
William Devane,0,1,1
William H. Macy,0,5,1
William Hurt,0,6,1
William L. Petersen,0,1,1
William O. Campbell,0,1,1
William Shatner,1,2,2
Winona Ryder,1,3,2
Woody Allen,0,2,1
Woody Harrelson,0,4,1
Woody Strode,0,1,1
Yoko Shimada,1,1,2
Yul Brynner,0,1,1
Yvette Mimieux,0,3,1
Yvonne Elliman,0,1,1
Yvonne Strahovski,0,1,1
Zach Braff,0,3,1
Zalman King,0,1,1
Zero Mostel,0,1,1
Ziyi Zhang,0,1,1
Zooey Deschanel,0,3,1
