nominee,nr_wins,nr_nominations,oscar_index
Bérénice Bejo,0.0,1,1
Candice Bergen,0.0,1,1
Candy Clark,0.0,1,1
Cara Williams,0.0,1,1
Carey Mulligan,0.0,1,1
Carol Channing,0.0,1,1
Carol Kane,0.0,1,1
Carole Lombard,0.0,1,1
Carolyn Jones,0.0,1,1
Carrie Snodgress,0.0,1,1
Carroll Baker,0.0,1,1
Cary Grant,0.0,2,1
Casey Affleck,0.0,1,1
Catalina Sandino Moreno,0.0,1,1
Cate Blanchett,2.0,7,3
Catherine Burns,0.0,1,1
Catherine Deneuve,0.0,1,1
Catherine Keener,0.0,2,1
Catherine Zeta-Jones,1.0,1,2
Cathy Moriarty,0.0,1,1
Cecil Kellaway,0.0,2,1
Celeste Holm,1.0,3,2
Celia Johnson,0.0,1,1
Charles Bickford,0.0,3,1
Charles Boyer,0.0,4,1
Charles Chaplin,0.0,1,1
Charles Coburn,1.0,3,2
Charles Durning,0.0,2,1
Charles Laughton,1.0,3,2
Charlize Theron,1.0,2,2
Charlotte Rampling,0.0,1,1
Charlton Heston,1.0,1,2
Chazz Palminteri,0.0,1,1
Cher,1.0,2,2
Chester Morris,0.0,1,1
Chief Dan George,0.0,1,1
Chill Wills,0.0,1,1
Chiwetel Ejiofor,0.0,1,1
Chloë Sevigny,0.0,1,1
Chris Cooper,1.0,1,2
Chris Sarandon,0.0,1,1
Christian Bale,1.0,3,2
Christine Lahti,0.0,1,1
Christoph Waltz,2.0,2,3
Christopher Plummer,1.0,2,2
Christopher Walken,1.0,2,2
Cicely Tyson,0.0,1,1
Claire Trevor,1.0,3,2
Clark Gable,1.0,3,2
Claude Rains,0.0,4,1
Claudette Colbert,1.0,3,2
Cliff Robertson,1.0,1,2
Clifton Webb,0.0,3,1
Clint Eastwood,0.0,2,1
Clive Owen,0.0,1,1
Cloris Leachman,1.0,1,2
Colette Marchand,0.0,1,1
Colin Firth,1.0,2,2
Corinne Griffith,0.0,1,1
Cornel Wilde,0.0,1,1
"Cuba Gooding, Jr.",1.0,1,2
Dame Edith Evans,0.0,3,1
Dame May Whitty,0.0,2,1
Dan Aykroyd,0.0,1,1
Dan Dailey,0.0,1,1
Dan O'Herlihy,0.0,1,1
Daniel Day Lewis,1.0,1,2
Daniel Day-Lewis,2.0,4,3
Daniel Massey,0.0,1,1
Danny Aiello,0.0,1,1
David Niven,1.0,1,2
David Paymer,0.0,1,1
David Strathairn,0.0,1,1
Dean Jagger,1.0,1,2
Dean Stockwell,0.0,1,1
Debbie Reynolds,0.0,1,1
Deborah Kerr,0.0,6,1
Debra Winger,0.0,3,1
Demián Bichir,0.0,1,1
Denholm Elliott,0.0,1,1
Dennis Hopper,0.0,1,1
Denzel Washington,2.0,6,3
Dexter Gordon,0.0,1,1
Diahann Carroll,0.0,1,1
Diana Ross,0.0,1,1
Diana Scarwid,0.0,1,1
Diana Wynyard,0.0,1,1
Diane Cilento,0.0,1,1
Diane Keaton,1.0,4,2
Diane Ladd,0.0,3,1
Diane Lane,0.0,1,1
Diane Varsi,0.0,1,1
Dianne Wiest,2.0,3,3
Djimon Hounsou,0.0,2,1
Don Ameche,1.0,1,2
Don Cheadle,0.0,1,1
Don Murray,0.0,1,1
Donald Crisp,1.0,1,2
Donna Reed,1.0,1,2
Doris Day,0.0,1,1
Dorothy Dandridge,0.0,1,1
Dorothy Malone,1.0,1,2
Dorothy McGuire,0.0,1,1
Dudley Moore,0.0,1,1
Dustin Hoffman,2.0,7,3
Dyan Cannon,0.0,2,1
Ed Begley,1.0,1,2
Ed Harris,0.0,4,1
Ed Wynn,0.0,1,1
Eddie Albert,0.0,2,1
Eddie Murphy,0.0,1,1
Eddie Redmayne,1.0,2,2
Edmond O'Brien,1.0,2,2
Edmund Gwenn,1.0,2,2
Edna May Oliver,0.0,1,1
Edward James Olmos,0.0,1,1
Edward Norton,0.0,3,1
Eileen Brennan,0.0,1,1
Eileen Heckart,1.0,2,2
Eleanor Parker,0.0,3,1
Elisabeth Bergner,0.0,1,1
Elisabeth Shue,0.0,1,1
Elizabeth Hartman,0.0,1,1
Elizabeth McGovern,0.0,1,1
Elizabeth Taylor,2.0,5,3
Ellen Burstyn,1.0,6,2
Ellen Corby,0.0,1,1
Ellen Page,0.0,1,1
Elliott Gould,0.0,1,1
Elsa Lanchester,0.0,2,1
Emil Jannings,1.0,1,2
Emily Watson,0.0,2,1
Emma Stone,0.0,1,1
Emma Thompson,1.0,4,2
Emmanuelle Riva,0.0,1,1
Eric Roberts,0.0,1,1
Erich von Stroheim,0.0,1,1
Ernest Borgnine,1.0,1,2
Estelle Parsons,1.0,2,2
Ethan Hawke,0.0,2,1
Ethel Barrymore,1.0,4,2
Ethel Waters,0.0,1,1
Eva Le Gallienne,0.0,1,1
Eva Marie Saint,1.0,1,2
Eve Arden,0.0,1,1
F. Murray Abraham,1.0,1,2
Fay Bainter,1.0,3,2
Faye Dunaway,1.0,3,2
Felicity Huffman,0.0,1,1
Felicity Jones,0.0,1,1
Fernanda Montenegro,0.0,1,1
Flora Robson,0.0,1,1
Forest Whitaker,1.0,1,2
Frances McDormand,1.0,4,2
Franchot Tone,0.0,1,1
Frank Finlay,0.0,1,1
Frank Langella,0.0,1,1
Frank Morgan,0.0,2,1
Frank Sinatra,1.0,2,2
Fred Astaire,0.0,1,1
Frederic Forrest,0.0,1,1
Fredric March,2.0,5,3
Gabourey Sidibe,0.0,1,1
Gale Sondergaard,1.0,2,2
Gary Busey,0.0,1,1
Gary Cooper,2.0,5,3
Gary Oldman,0.0,1,1
Gary Sinise,0.0,1,1
Geena Davis,1.0,2,2
Gena Rowlands,0.0,2,1
Gene Hackman,2.0,5,3
Gene Kelly,0.0,1,1
Gene Lockhart,0.0,1,1
Gene Tierney,0.0,1,1
Gene Wilder,0.0,1,1
Genevieve Bujold,0.0,1,1
Geoffrey Rush,1.0,4,2
George Arliss,1.0,2,2
George Bancroft,0.0,1,1
George Burns,1.0,1,2
George C. Scott,1.0,4,2
George Chakiris,1.0,1,2
George Clooney,1.0,4,2
George Kennedy,1.0,1,2
George Sanders,1.0,1,2
George Segal,0.0,1,1
Geraldine Fitzgerald,0.0,1,1
Geraldine Page,1.0,8,2
Gerard Depardieu,0.0,1,1
Giancarlo Giannini,0.0,1,1
Gig Young,1.0,3,2
Ginger Rogers,1.0,1,2
Gladys Cooper,0.0,3,1
Gladys George,0.0,1,1
Glenda Jackson,2.0,4,3
Glenn Close,0.0,6,1
Gloria Grahame,1.0,2,2
Gloria Stuart,0.0,1,1
Gloria Swanson,0.0,3,1
Glynis Johns,0.0,1,1
Goldie Hawn,1.0,2,2
Grace Kelly,1.0,2,2
Grace Moore,0.0,1,1
Graham Greene,0.0,1,1
Grayson Hall,0.0,1,1
Greer Garson,1.0,7,2
Greg Kinnear,0.0,1,1
Gregory Peck,1.0,5,2
Greta Garbo,0.0,3,1
Gwyneth Paltrow,1.0,1,2
H. B. Warner,0.0,1,1
Hailee Steinfeld,0.0,1,1
Haing S. Ngor,1.0,1,2
Hal Holbrook,0.0,1,1
Haley Joel Osment,0.0,1,1
Halle Berry,1.0,1,2
Harold Russell,1.0,1,2
Harrison Ford,0.0,1,1
Harry Carey,0.0,1,1
Harvey Keitel,0.0,1,1
Hattie McDaniel,1.0,1,2
Heath Ledger,1.0,2,2
Helen Hayes,2.0,2,3
Helen Hunt,1.0,2,2
Helen Mirren,1.0,4,2
Helena Bonham Carter,0.0,2,1
Henry Fonda,1.0,2,2
Henry Travers,0.0,1,1
Hermione Baddeley,0.0,1,1
Hilary Swank,2.0,2,3
Holly Hunter,1.0,4,2
Hope Emerson,0.0,1,1
Hope Lange,0.0,1,1
"Howard E. Rollins, Jr.",0.0,1,1
Hugh Griffith,1.0,2,2
Hugh Jackman,0.0,1,1
Hume Cronyn,0.0,1,1
Humphrey Bogart,1.0,3,2
Ian Bannen,0.0,1,1
Ian Holm,0.0,1,1
Ian McKellen,0.0,2,1
Ida Kaminska,0.0,1,1
Imelda Staunton,0.0,1,1
Ingrid Bergman,3.0,7,3
Irene Dunne,0.0,5,1
Isabelle Adjani,0.0,2,1
J. Carrol Naish,0.0,2,1
J.K. Simmons,1.0,1,2
Jack Albertson,1.0,1,2
Jack Gilford,0.0,1,1
Jack Kruschen,0.0,1,1
Jack Lemmon,2.0,8,3
Jack Nicholson,3.0,12,3
Jack Oakie,0.0,1,1
Jack Palance,1.0,3,2
Jack Warden,0.0,2,1
Jack Wild,0.0,1,1
Jacki Weaver,0.0,2,1
Jackie Cooper,0.0,1,1
Jackie Earle Haley,0.0,1,1
Jackie Gleason,0.0,1,1
Jake Gyllenhaal,0.0,1,1
James Caan,0.0,1,1
James Cagney,1.0,3,2
James Coburn,1.0,1,2
James Coco,0.0,1,1
James Cromwell,0.0,1,1
James Dean,0.0,2,1
James Dunn,1.0,1,2
James Earl Jones,0.0,1,1
James Franco,0.0,1,1
James Garner,0.0,1,1
James Gleason,0.0,1,1
James Mason,0.0,3,1
James Stephenson,0.0,1,1
James Stewart,1.0,5,2
James Whitmore,0.0,2,1
James Woods,0.0,2,1
Jamie Foxx,1.0,2,2
Jan Sterling,0.0,1,1
Jane Alexander,0.0,4,1
Jane Darwell,1.0,1,2
Jane Fonda,2.0,7,3
Jane Wyman,1.0,4,2
Janet Gaynor,1.0,2,2
Janet Leigh,0.0,1,1
Janet McTeer,0.0,2,1
Janet Suzman,0.0,1,1
Jared Leto,1.0,1,2
Jason Miller,0.0,1,1
Jason Robards,2.0,3,3
Javier Bardem,1.0,3,2
Jaye Davidson,0.0,1,1
Jean Arthur,0.0,1,1
Jean Dujardin,1.0,1,2
Jean Hagen,0.0,1,1
Jean Simmons,0.0,2,1
Jeanne Crain,0.0,1,1
Jeanne Eagels,0.0,1,1
Jeannie Berlin,0.0,1,1
Jeff Bridges,1.0,6,2
Jeff Chandler,0.0,1,1
Jennifer Connelly,1.0,1,2
Jennifer Hudson,1.0,1,2
Jennifer Jason Leigh,0.0,1,1
Jennifer Jones,1.0,5,2
Jennifer Lawrence,1.0,4,2
Jennifer Tilly,0.0,1,1
Jeremy Irons,1.0,1,2
Jeremy Renner,0.0,2,1
Jesse Eisenberg,0.0,1,1
Jessica Chastain,0.0,2,1
Jessica Lange,2.0,6,3
Jessica Tandy,1.0,2,2
Jill Clayburgh,0.0,2,1
Jim Broadbent,1.0,1,2
Jo Van Fleet,1.0,1,2
Joan Allen,0.0,3,1
Joan Blondell,0.0,1,1
Joan Crawford,1.0,3,2
Joan Cusack,0.0,2,1
Joan Fontaine,1.0,3,2
Joan Hackett,0.0,1,1
Joan Lorring,0.0,1,1
Joan Plowright,0.0,1,1
Joanne Woodward,1.0,4,2
Joaquin Phoenix,0.0,3,1
Jocelyne Lagarde,0.0,1,1
Jodie Foster,2.0,4,3
Joe Mantell,0.0,1,1
Joe Pesci,1.0,2,2
Joel Grey,1.0,1,2
John C. Reilly,0.0,1,1
John Cassavetes,0.0,1,1
John Dall,0.0,1,1
John Garfield,0.0,2,1
John Gielgud,1.0,2,2
John Hawkes,0.0,1,1
John Houseman,1.0,1,2
John Hurt,0.0,2,1
John Huston,0.0,1,1
John Ireland,0.0,1,1
John Lithgow,0.0,2,1
John Malkovich,0.0,2,1
John Marley,0.0,1,1
John Mills,1.0,1,2
John Travolta,0.0,2,1
John Wayne,1.0,2,2
Johnny Depp,0.0,3,1
Jon Voight,1.0,4,2
Jonah Hill,0.0,2,1
Joseph Schildkraut,1.0,1,2
Josephine Hull,1.0,1,2
Josh Brolin,0.0,1,1
José Ferrer,1.0,3,2
Joyce Redman,0.0,2,1
Juanita Moore,0.0,1,1
Judd Hirsch,0.0,1,1
Jude Law,0.0,2,1
Judi Dench,1.0,7,2
Judith Anderson,0.0,1,1
Judy Davis,0.0,2,1
Judy Garland,0.0,2,1
Judy Holliday,1.0,1,2
Julia Roberts,1.0,4,2
Julianne Moore,1.0,5,2
Julie Andrews,1.0,3,2
Julie Christie,1.0,4,2
Julie Harris,0.0,1,1
Julie Walters,0.0,2,1
Juliette Binoche,1.0,2,2
Juliette Lewis,0.0,1,1
June Squibb,0.0,1,1
Justin Henry,0.0,1,1
Karen Black,0.0,1,1
Karl Malden,1.0,2,2
Kate Hudson,0.0,1,1
Kate Nelligan,0.0,1,1
Kate Winslet,1.0,7,2
Katharine Hepburn,4.0,12,3
Katharine Ross,0.0,1,1
Kathleen Quinlan,0.0,1,1
Kathleen Turner,0.0,1,1
Kathy Bates,1.0,3,2
Katina Paxinou,1.0,1,2
Katy Jurado,0.0,1,1
Kay Medford,0.0,1,1
Keira Knightley,0.0,2,1
Keisha Castle-Hughes,0.0,1,1
Ken Watanabe,0.0,1,1
Kenneth Branagh,0.0,2,1
Kevin Costner,0.0,1,1
Kevin Kline,1.0,1,2
Kevin McCarthy,0.0,1,1
Kevin Spacey,2.0,2,3
Kim Basinger,1.0,1,2
Kim Hunter,1.0,1,2
Kim Stanley,0.0,2,1
Kirk Douglas,0.0,3,1
Klaus Maria Brandauer,0.0,1,1
Kristin Scott Thomas,0.0,1,1
Lana Turner,0.0,1,1
Larry Parks,0.0,1,1
Laura Dern,0.0,2,1
Laura Linney,0.0,3,1
Lauren Bacall,0.0,1,1
Laurence Fishburne,0.0,1,1
Laurence Harvey,0.0,1,1
Laurence Olivier,1.0,9,2
Lawrence Tibbett,0.0,1,1
Lee Grant,1.0,4,2
Lee J. Cobb,0.0,2,1
Lee Marvin,1.0,1,2
Lee Remick,0.0,1,1
Lee Strasberg,0.0,1,1
Lee Tracy,0.0,1,1
Lena Olin,0.0,1,1
Leo Genn,0.0,1,1
Leonard Frey,0.0,1,1
Leonardo DiCaprio,1.0,5,2
Lesley Ann Warren,0.0,1,1
Leslie Browne,0.0,1,1
Leslie Caron,0.0,2,1
Leslie Howard,0.0,2,1
Lew Ayres,0.0,1,1
Lewis Stone,0.0,1,1
Liam Neeson,0.0,1,1
Lila Kedrova,1.0,1,2
Lilia Skala,0.0,1,1
Lillian Gish,0.0,1,1
Lily Tomlin,0.0,1,1
Linda Blair,0.0,1,1
Linda Hunt,1.0,1,2
Lindsay Crouse,0.0,1,1
Lionel Barrymore,1.0,1,2
Liv Ullmann,0.0,2,1
Liza Minnelli,1.0,2,2
Loretta Young,1.0,2,2
Lorraine Bracco,0.0,1,1
Lotte Lenya,0.0,1,1
Louis Calhern,0.0,1,1
"Louis Gossett, Jr.",1.0,1,2
Louise Dresser,0.0,1,1
Louise Fletcher,1.0,1,2
Lucile Watson,0.0,1,1
Luise Rainer,2.0,2,3
Lupita Nyong'o,1.0,1,2
Lynn Carlin,0.0,1,1
Lynn Fontanne,0.0,1,1
Lynn Redgrave,0.0,2,1
Madeline Kahn,0.0,2,1
Maggie Gyllenhaal,0.0,1,1
Maggie McNamara,0.0,1,1
Maggie Smith,2.0,6,3
Mako,0.0,1,1
Marcello Mastroianni,0.0,3,1
Marcia Gay Harden,1.0,2,2
Mare Winningham,0.0,1,1
Margaret Avery,0.0,1,1
Margaret Leighton,0.0,1,1
Margaret Rutherford,1.0,1,2
Margaret Sullavan,0.0,1,1
Margaret Wycherly,0.0,1,1
Maria Ouspenskaya,0.0,2,1
Marianne Jean-Baptiste,0.0,1,1
Marie Dressler,1.0,2,2
Marie-Christine Barrault,0.0,1,1
Mariel Hemingway,0.0,1,1
Marion Cotillard,1.0,2,2
Marisa Pavan,0.0,1,1
Marisa Tomei,1.0,3,2
Marjorie Main,0.0,1,1
Marjorie Rambeau,0.0,2,1
Mark Ruffalo,0.0,3,1
Mark Rylance,1.0,1,2
Mark Wahlberg,0.0,1,1
Marlee Matlin,1.0,1,2
Marlene Dietrich,0.0,1,1
Marlon Brando,2.0,8,3
Marsha Mason,0.0,4,1
Martha Hyer,0.0,1,1
Martha Scott,0.0,1,1
Martin Balsam,1.0,1,2
Martin Landau,1.0,3,2
Mary Astor,1.0,1,2
Mary Badham,0.0,1,1
Mary Elizabeth Mastrantonio,0.0,1,1
Mary McDonnell,0.0,2,1
Mary Pickford,1.0,1,2
Mary Steenburgen,1.0,1,2
Mary Tyler Moore,0.0,1,1
Mary Ure,0.0,1,1
Massimo Troisi,0.0,1,1
Matt Damon,0.0,3,1
Matt Dillon,0.0,1,1
Matthew McConaughey,1.0,1,2
Maureen Stapleton,1.0,4,2
Maurice Chevalier,0.0,1,1
Max von Sydow,0.0,2,1
Maximilian Schell,1.0,3,2
May Robson,0.0,1,1
Meg Tilly,0.0,1,1
Melanie Griffith,0.0,1,1
Melina Mercouri,0.0,1,1
Melinda Dillon,0.0,2,1
Melissa Leo,1.0,2,2
Melissa McCarthy,0.0,1,1
Melvyn Douglas,2.0,3,3
Mercedes McCambridge,1.0,2,2
Mercedes Ruehl,1.0,1,2
Merle Oberon,0.0,1,1
Meryl Streep,3.0,19,3
Michael Caine,2.0,6,3
Michael Chekhov,0.0,1,1
Michael Clarke Duncan,0.0,1,1
Michael Douglas,1.0,1,2
Michael Dunn,0.0,1,1
Michael Fassbender,0.0,2,1
Michael J. Pollard,0.0,1,1
Michael Keaton,0.0,1,1
Michael Lerner,0.0,1,1
Michael O'Keefe,0.0,1,1
Michael Redgrave,0.0,1,1
Michael Shannon,0.0,1,1
Michael V. Gazzo,0.0,1,1
Michelle Pfeiffer,0.0,3,1
Michelle Williams,0.0,3,1
Mickey Rooney,0.0,4,1
Mickey Rourke,0.0,1,1
Mikhail Baryshnikov,0.0,1,1
Mildred Dunnock,0.0,2,1
Mildred Natwick,0.0,1,1
Miliza Korjus,0.0,1,1
Minnie Driver,0.0,1,1
Mira Sorvino,1.0,1,2
Miranda Richardson,0.0,2,1
Miriam Hopkins,0.0,1,1
Mischa Auer,0.0,1,1
Miyoshi Umeki,1.0,1,2
Mo'Nique,1.0,1,2
Montgomery Clift,0.0,4,1
Monty Woolley,0.0,2,1
Morgan Freeman,1.0,5,2
Nancy Carroll,0.0,1,1
Nancy Kelly,0.0,1,1
Nancy Olson,0.0,1,1
Naomi Watts,0.0,2,1
Natalie Portman,1.0,2,2
Natalie Wood,0.0,3,1
Ned Beatty,0.0,1,1
Nick Adams,0.0,1,1
Nick Nolte,0.0,3,1
Nicolas Cage,1.0,2,2
Nicole Kidman,1.0,3,2
Nigel Hawthorne,0.0,1,1
Nina Foch,0.0,1,1
Noriyuki 'Pat' Morita,0.0,1,1
Norma Aleandro,0.0,1,1
Norma Shearer,1.0,6,2
Octavia Spencer,1.0,1,2
Olivia de Havilland,2.0,5,3
Olympia Dukakis,1.0,1,2
Omar Sharif,0.0,1,1
Oprah Winfrey,0.0,1,1
Orson Welles,0.0,1,1
Oscar Homolka,0.0,1,1
Oskar Werner,0.0,1,1
Patricia Arquette,1.0,1,2
Patricia Clarkson,0.0,1,1
Patricia Collinge,0.0,1,1
Patricia Neal,1.0,2,2
Patty Duke,1.0,1,2
Patty McCormack,0.0,1,1
Paul Giamatti,0.0,1,1
Paul Lukas,1.0,1,2
Paul Muni,1.0,6,2
Paul Newman,1.0,9,2
Paul Scofield,1.0,2,2
Paul Winfield,0.0,1,1
Paulette Goddard,0.0,1,1
Pauline Collins,0.0,1,1
Peggy Ashcroft,1.0,1,2
Peggy Cass,0.0,1,1
Peggy Lee,0.0,1,1
Peggy Wood,0.0,1,1
Penelope Milford,0.0,1,1
Penélope Cruz,1.0,3,2
Pete Postlethwaite,0.0,1,1
Peter Falk,0.0,2,1
Peter Finch,1.0,2,2
Peter Firth,0.0,1,1
Peter Fonda,0.0,1,1
Peter O'Toole,0.0,8,1
Peter Sellers,0.0,2,1
Peter Ustinov,2.0,3,3
Philip Seymour Hoffman,1.0,4,2
Piper Laurie,0.0,3,1
Queen Latifah,0.0,1,1
Quinn Cummings,0.0,1,1
Quvenzhané Wallis,0.0,1,1
Rachel Griffiths,0.0,1,1
Rachel McAdams,0.0,1,1
Rachel Roberts,0.0,1,1
Rachel Weisz,1.0,1,2
Ralph Bellamy,0.0,1,1
Ralph Fiennes,0.0,2,1
Ralph Richardson,0.0,2,1
Randy Quaid,0.0,1,1
Ray Milland,1.0,1,2
Raymond Massey,0.0,1,1
Red Buttons,1.0,1,2
Reese Witherspoon,1.0,2,2
Renée Zellweger,1.0,3,2
Rex Harrison,1.0,2,2
Richard Barthelmess,0.0,1,1
Richard Burton,0.0,7,1
Richard Castellano,0.0,1,1
Richard Dix,0.0,1,1
Richard Dreyfuss,1.0,2,2
Richard Farnsworth,0.0,2,1
Richard Harris,0.0,2,1
Richard Jaeckel,0.0,1,1
Richard Jenkins,0.0,1,1
Richard Todd,0.0,1,1
Richard Widmark,0.0,1,1
Rinko Kikuchi,0.0,1,1
Rip Torn,0.0,1,1
Rita Moreno,1.0,1,2
River Phoenix,0.0,1,1
Robert De Niro,2.0,7,3
Robert Donat,1.0,2,2
Robert Downey Jr.,0.0,2,1
Robert Duvall,1.0,7,2
Robert Forster,0.0,1,1
Robert Loggia,0.0,1,1
Robert Mitchum,0.0,1,1
Robert Montgomery,0.0,2,1
Robert Morley,0.0,1,1
Robert Preston,0.0,1,1
Robert Redford,0.0,1,1
Robert Ryan,0.0,1,1
Robert Shaw,0.0,1,1
Robert Stack,0.0,1,1
Robert Strauss,0.0,1,1
Robert Vaughn,0.0,1,1
Roberto Benigni,1.0,1,2
Robin Williams,1.0,4,2
Rock Hudson,0.0,1,1
Rod Steiger,1.0,3,2
Roland Young,0.0,1,1
Ron Moody,0.0,1,1
Ronald Colman,1.0,3,2
Ronee Blakley,0.0,1,1
Rooney Mara,0.0,2,1
Rosalind Russell,0.0,4,1
Rosamund Pike,0.0,1,1
Rosemary Harris,0.0,1,1
Rosie Perez,0.0,1,1
Roy Scheider,0.0,2,1
Ruby Dee,0.0,1,1
Rupert Crosse,0.0,1,1
Russ Tamblyn,0.0,1,1
Russell Crowe,1.0,3,2
Ruth Chatterton,0.0,2,1
Ruth Gordon,1.0,2,2
Ruth Hussey,0.0,1,1
Ryan Gosling,0.0,1,1
Ryan O'Neal,0.0,1,1
Sal Mineo,0.0,2,1
Sally Field,2.0,3,3
Sally Hawkins,0.0,1,1
Sally Kellerman,1.0,1,2
Sally Kirkland,0.0,1,1
Salma Hayek,0.0,1,1
Sam Jaffe,0.0,1,1
Sam Shepard,0.0,1,1
Sam Waterston,0.0,1,1
Samantha Eggar,0.0,1,1
Samantha Morton,0.0,2,1
Samuel L. Jackson,0.0,1,1
Sandra Bullock,1.0,2,2
Sandy Dennis,1.0,1,2
Saoirse Ronan,0.0,2,1
Sara Allgood,0.0,1,1
Sarah Miles,0.0,1,1
Sean Connery,1.0,1,2
Sean Penn,2.0,5,3
Sessue Hayakawa,0.0,1,1
Seymour Cassel,0.0,1,1
Sharon Stone,0.0,1,1
Shelley Winters,2.0,4,3
Shirley Booth,1.0,1,2
Shirley Jones,1.0,1,2
Shirley Knight,0.0,2,1
Shirley MacLaine,1.0,5,2
Shohreh Aghdashloo,0.0,1,1
Sidney Poitier,1.0,2,2
Sigourney Weaver,0.0,3,1
Simone Signoret,1.0,2,2
Sir Laurence Olivier,0.0,1,1
Sissy Spacek,1.0,6,2
Sondra Locke,0.0,1,1
Sophia Loren,1.0,2,2
Sophie Okonedo,0.0,1,1
Spencer Tracy,2.0,9,3
Spring Byington,0.0,1,1
Stanley Holloway,0.0,1,1
Stanley Tucci,0.0,1,1
Stephen Rea,0.0,1,1
Steve Carell,0.0,1,1
Steve McQueen,0.0,1,1
Stockard Channing,0.0,1,1
Stuart Erwin,0.0,1,1
Stuart Whitman,0.0,1,1
Susan Hayward,1.0,5,2
Susan Kohner,0.0,1,1
Susan Peters,0.0,1,1
Susan Sarandon,1.0,5,2
Susan Tyrrell,0.0,1,1
Susannah York,0.0,1,1
Sydney Greenstreet,0.0,1,1
Sylvester Stallone,0.0,2,1
Sylvia Miles,0.0,2,1
Sylvia Sidney,0.0,1,1
Talia Shire,0.0,2,1
Taraji P. Henson,0.0,1,1
Tatum O'Neal,1.0,1,2
Telly Savalas,0.0,1,1
Terence Stamp,0.0,1,1
Teresa Wright,1.0,3,2
Teri Garr,0.0,1,1
Terrence Howard,0.0,1,1
Terry Moore,0.0,1,1
