year_film,year,ceremony,award,nominee,film,winner
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,"Court Jester, The",False
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Eileen Heckart,"Bad Seed, The",True
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marjorie Main,Friendly Persuasion,False
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dorothy Malone,Written on the Wind,False
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patty McCormack,"Bad Seed, The",False
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,Baby Doll,False
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,Earl Holliman,"Rainmaker, The",True
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Albert,"Teahouse of the August Moon, The",False
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,Oscar Homolka,War and Peace,False
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,Anthony Quinn,Lust For Life,False
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eli Wallach,Baby Doll,False
1956,1957,14,New Star Of The Year - Actress,Carroll Baker,Baby Doll,True
1956,1957,14,New Star Of The Year - Actress,Carroll Baker,Giant,True
1956,1957,14,New Star Of The Year - Actress,Jayne Mansfield,"Girl Can't Help It, The",True
1956,1957,14,New Star Of The Year - Actress,Natalie Wood,Rebel Without a Cause,True
1956,1957,14,New Star Of The Year - Actress,Jayne Mansfield,Giant,False
1956,1957,14,New Foreign Star Of The Year - Actress,Taina Elg,,True
1956,1957,14,New Foreign Star Of The Year - Actor,Jacques Bergerac,,True
1956,1957,14,New Star Of The Year - Actor,John Kerr,Tea and Sympathy,True
1956,1957,14,New Star Of The Year - Actor,Paul Newman,"Silver Chalice, The",True
1956,1957,14,New Star Of The Year - Actor,Anthony Perkins,Friendly Persuasion,True
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Deborah Kerr,"King and I, The",True
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,"Solid Gold Cadillac, The",False
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Machiko Kyo,"Teahouse of the August Moon, The",False
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Marilyn Monroe,Bus Stop,False
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Debbie Reynolds,Bundle of Joy,False
1957,1958,15,Best Performance by an Actress in a Motion Picture - Drama,Joanne Woodward,"Three Faces of Eve, The",True
1957,1958,15,Best Performance by an Actress in a Motion Picture - Drama,Marlene Dietrich,Witness for the Prosecution,False
1957,1958,15,Best Performance by an Actress in a Motion Picture - Drama,Deborah Kerr,"Heaven Knows, Mr. Allison",False
1957,1958,15,Best Performance by an Actress in a Motion Picture - Drama,Anna Magnani,Wild is the Wind,False
1957,1958,15,Best Performance by an Actress in a Motion Picture - Drama,Eva Marie Saint,"Hatful of Rain, A",False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Drama,Alec Guinness,"Bridge on the River Kwai, The",True
1957,1958,15,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,Sayonara,False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Drama,Henry Fonda,12 Angry Men (1957),False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Drama,Anthony Franciosa,"Hatful of Rain, A",False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Drama,Charles Laughton,Witness for the Prosecution,False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Frank Sinatra,Pal Joey,True
1957,1958,15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glenn Ford,Don't Go Near The Water,False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,David Niven,My Man Godfrey,False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tony Randall,Will Success Spoil Rock Hunter?,False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Maurice Chevalier,Love in the Afternoon,False
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Elsa Lanchester,Witness for the Prosecution,True
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,Peyton Place,False
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hope Lange,Peyton Place,False
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Heather Sears,"Story of Esther Costello, The",False
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Miyoshi Umeki,Sayonara,False
1957,1958,15,Best Performance by an Actor in a Supporting Role in any Motion Picture,Red Buttons,Sayonara,True
1957,1958,15,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sessue Hayakawa,"Bridge on the River Kwai, The",False
1957,1958,15,Best Performance by an Actor in a Supporting Role in any Motion Picture,Nigel Patrick,Raintree County,False
1957,1958,15,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Wynn,"Great Man, The",False
1957,1958,15,Best Performance by an Actor in a Supporting Role in any Motion Picture,Lee J. Cobb,12 Angry Men (1957),False
1957,1958,15,New Star Of The Year - Actress,Sandra Dee,Until They Sail,True
1957,1958,15,New Star Of The Year - Actress,Carolyn Jones,,True
1957,1958,15,New Star Of The Year - Actress,Diane Varsi,Peyton Place,True
1957,1958,15,New Star Of The Year - Actor,James Garner,Sayonara,True
1957,1958,15,New Star Of The Year - Actor,John Saxon,This Happy Feeling,True
1957,1958,15,New Star Of The Year - Actor,Patrick Wayne,The Searchers,True
1957,1958,15,Actress In A Leading Role - Musical Or Comedy,Taina Elg,Les Girls,True
1957,1958,15,Actress In A Leading Role - Musical Or Comedy,Kay Kendall,Les Girls,True
1957,1958,15,Actress In A Leading Role - Musical Or Comedy,Cyd Charisse,Silk Stockings,False
1957,1958,15,Actress In A Leading Role - Musical Or Comedy,Audrey Hepburn,Love in the Afternoon,False
1957,1958,15,Actress In A Leading Role - Musical Or Comedy,Jean Simmons,This Could Be the Night,False
1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Susan Hayward,I Want To Live!,True
1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,"Inn of the Sixth Happiness, The",False
1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Deborah Kerr,Separate Tables,False
1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Shirley MacLaine,Some Came Running,False
1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Jean Simmons,Home Before Dark,False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Drama,David Niven,Separate Tables,True
1958,1959,16,Best Performance by an Actor in a Motion Picture - Drama,Tony Curtis,"Defiant Ones, The",False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Drama,Sidney Poitier,"Defiant Ones, The",False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Drama,Robert Donat,"Inn of the Sixth Happiness, The",False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Drama,Spencer Tracy,"Old Man and the Sea, The",False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,Me and the Colonel,True
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Maurice Chevalier,Gigi,False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clark Gable,Teacher's Pet,False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,Indiscreet,False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Louis Jourdan,Gigi,False
1958,1959,16,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hermione Gingold,Gigi,True
1958,1959,16,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Lonelyhearts,False
1958,1959,16,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cara Williams,"Defiant Ones, The",False
1958,1959,16,Best Performance by an Actress in a Supporting Role in any Motion Picture,Peggy Cass,Auntie Mame,False
1958,1959,16,Best Performance by an Actress in a Supporting Role in any Motion Picture,Wendy Hiller,Separate Tables,False
1958,1959,16,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burl Ives,"Big Country, The",True
1958,1959,16,Best Performance by an Actor in a Supporting Role in any Motion Picture,Harry Guardino,Houseboat,False
1958,1959,16,Best Performance by an Actor in a Supporting Role in any Motion Picture,David Ladd,"Proud Rebel, The",False
1958,1959,16,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gig Young,Teacher's Pet,False
1958,1959,16,Best Performance by an Actor in a Supporting Role in any Motion Picture,Efrem Zimbalist Jr.,Home Before Dark,False
1958,1959,16,New Star Of The Year - Actress,Linda Cristal,The Perfect Furlough,True
1958,1959,16,New Star Of The Year - Actress,Susan Kohner,"Gene Krupa Story, The",True
1958,1959,16,New Star Of The Year - Actress,Tina Louise,God's Little Acre,True
1958,1959,16,New Star Of The Year - Actress,Joanna Barnes,Auntie Mame,False
1958,1959,16,New Star Of The Year - Actress,Carol Lynley,"Light in the Forest, The",False
1958,1959,16,New Star Of The Year - Actress,France Nuyen,South Pacific,False
1958,1959,16,New Star Of The Year - Actor,Bradford Dillman,In Love and War - 1958,True
1958,1959,16,New Star Of The Year - Actor,John Gavin,"Time to Love and a Time to Die, A",True
1958,1959,16,New Star Of The Year - Actor,Efrem Zimbalist Jr.,"Too Much, Too Soon",True
1958,1959,16,New Star Of The Year - Actor,David Ladd,"Proud Rebel, The",False
1958,1959,16,New Star Of The Year - Actor,Ricky Nelson,Rio Bravo,False
1958,1959,16,New Star Of The Year - Actor,Ray Stricklyn,10 North Frederick,False
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Rosalind Russell,Auntie Mame,True
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Ingrid Bergman,Indiscreet,False
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Leslie Caron,Gigi,False
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Doris Day,"Tunnel of Love, The",False
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Mitzi Gaynor,South Pacific,False
1959,1960,17,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth Taylor,"Suddenly, Last Summer",True
1959,1960,17,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,"Nun's Story, The",False
1959,1960,17,Best Performance by an Actress in a Motion Picture - Drama,Lee Remick,Anatomy of a Murder,False
1959,1960,17,Best Performance by an Actress in a Motion Picture - Drama,Simone Signoret,Room At The Top,False
1959,1960,17,Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,"Suddenly, Last Summer",False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Anthony Franciosa,Career,True
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Joseph Schildkraut,"Diary of Anne Frank, The",False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Look Back In Anger,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Charlton Heston,Ben-Hur,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Middle of the Night,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,Some Like It Hot,True
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clark Gable,But Not For Me,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,Operation Petticoat,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dean Martin,Who Was That Lady?,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sidney Poitier,Porgy and Bess,False
1959,1960,17,Best Performance by an Actress in a Supporting Role in any Motion Picture,Susan Kohner,Imitation of Life,True
1959,1960,17,Best Performance by an Actress in a Supporting Role in any Motion Picture,Edith Evans,"Nun's Story, The",False
1959,1960,17,Best Performance by an Actress in a Supporting Role in any Motion Picture,Estelle Hemsley,Take a Giant Step,False
1959,1960,17,Best Performance by an Actress in a Supporting Role in any Motion Picture,Juanita Moore,Imitation of Life,False
1959,1960,17,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shelley Winters,"Diary of Anne Frank, The",False
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stephen Boyd,Ben-Hur,True
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Fred Astaire,On The Beach,False
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tony Randall,Pillow Talk,False
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Vaughn,"Young Philadelphians, The",False
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joseph Welch,Anatomy of a Murder,False
1959,1960,17,New Star Of The Year - Actress,Janet Munro,Darby O'Gill and The Little People,True
1959,1960,17,New Star Of The Year - Actress,Stella Stevens,Say One For Me,True
1959,1960,17,New Star Of The Year - Actress,Tuesday Weld,"Five Pennies, The",True
1959,1960,17,New Star Of The Year - Actress,Angie Dickinson,Rio Bravo,True
1959,1960,17,New Star Of The Year - Actress,Diane Baker,"Diary of Anne Frank, The",False
